CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	6	14.29	7
2	5	4	55.56	9
3	3	3	50.00	6
4	3	6	33.33	9
5	0	4	0.00	4
6	3	2	60.00	5
7	3	1	75.00	4
8	3	3	50.00	6
9	1	3	25.00	4
10	2	2	50.00	4
11	3	2	60.00	5
12	2	0	100.00	2
13	1	3	25.00	4
14	2	3	40.00	5
15	2	3	40.00	5
16	3	4	42.86	7
17	2	1	66.67	3
18	3	0	100.00	3
19	2	0	100.00	2
20	2	2	50.00	4
21	3	2	60.00	5
22	0	1	0.00	1
23	0	1	0.00	1
24	2	1	66.67	3
25	2	4	33.33	6
26	3	0	100.00	3
27	2	1	66.67	3
28	2	3	40.00	5
29	1	1	50.00	2
30	3	4	42.86	7
31	2	3	40.00	5
32	4	5	44.44	9
33	1	3	25.00	4
34	3	1	75.00	4
35	1	4	20.00	5
36	4	2	66.67	6
37	4	4	50.00	8
38	1	3	25.00	4
39	3	1	75.00	4
40	2	4	33.33	6
41	1	0	100.00	1
42	2	2	50.00	4
43	0	1	0.00	1
44	2	2	50.00	4
45	2	1	66.67	3
46	4	2	66.67	6
47	1	2	33.33	3
48	0	1	0.00	1
49	0	4	0.00	4
50	4	5	44.44	9
51	3	5	37.50	8
52	3	1	75.00	4
53	1	0	100.00	1
54	3	0	100.00	3
55	2	4	33.33	6
56	1	3	25.00	4
57	2	1	66.67	3
58	2	1	66.67	3
59	1	3	25.00	4
60	0	0		0
61	1	2	33.33	3
62	2	1	66.67	3
63	2	1	66.67	3
64	3	2	60.00	5
65	1	1	50.00	2
66	1	0	100.00	1
67	2	1	66.67	3
68	1	2	33.33	3
69	1	1	50.00	2
70	2	3	40.00	5
71	1	1	50.00	2
72	1	2	33.33	3
73	1	2	33.33	3
74	1	1	50.00	2
75	0	2	0.00	2
76	0	0		0
77	1	1	50.00	2
78	3	0	100.00	3
79	2	1	66.67	3
80	1	1	50.00	2
81	0	0		0
82	2	1	66.67	3
83	0	0		0
84	0	1	0.00	1
85	1	0	100.00	1
86	0	2	0.00	2
87	1	2	33.33	3
88	2	2	50.00	4
89	2	4	33.33	6
90	1	1	50.00	2
91	0	0		0

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	10	0.00	10
2	1	8	11.11	9
3	0	13	0.00	13
4	0	14	0.00	14
5	0	19	0.00	19
6	0	10	0.00	10
7	1	27	3.57	28
8	0	6	0.00	6
9	0	16	0.00	16
10	0	17	0.00	17
11	2	23	8.00	25
12	0	17	0.00	17
13	1	16	5.88	17
14	1	15	6.25	16
15	1	7	12.50	8
16	0	24	0.00	24
17	0	18	0.00	18
18	0	25	0.00	25
19	1	12	7.69	13
20	1	13	7.14	14
21	0	9	0.00	9
22	0	8	0.00	8
23	2	14	12.50	16
24	1	16	5.88	17
25	2	24	7.69	26
26	4	18	18.18	22
27	0	15	0.00	15
28	1	15	6.25	16
29	2	17	10.53	19
30	0	23	0.00	23
31	1	22	4.35	23
32	1	19	5.00	20
33	0	16	0.00	16
34	0	14	0.00	14
35	0	11	0.00	11
36	1	16	5.88	17
37	1	10	9.09	11
38	1	16	5.88	17
39	0	10	0.00	10
40	0	13	0.00	13
41	1	15	6.25	16
42	1	24	4.00	25
43	0	15	0.00	15
44	1	22	4.35	23
45	1	16	5.88	17
46	1	24	4.00	25
47	1	11	8.33	12
48	0	7	0.00	7
49	0	14	0.00	14
50	1	7	12.50	8
51	0	11	0.00	11
52	1	12	7.69	13
53	1	12	7.69	13
54	0	9	0.00	9
55	1	9	10.00	10
56	1	15	6.25	16
57	0	7	0.00	7
58	0	11	0.00	11
59	0	14	0.00	14
60	0	7	0.00	7
61	0	7	0.00	7
62	0	15	0.00	15
63	0	11	0.00	11
64	1	8	11.11	9
65	1	11	8.33	12
66	0	10	0.00	10
67	1	12	7.69	13
68	1	7	12.50	8
69	0	6	0.00	6
70	2	4	33.33	6
71	0	8	0.00	8
72	2	9	18.18	11
73	2	11	15.38	13
74	2	9	18.18	11
75	0	10	0.00	10
76	0	10	0.00	10
77	0	3	0.00	3
78	1	9	10.00	10
79	0	7	0.00	7
80	1	11	8.33	12
81	1	17	5.56	18
82	1	11	8.33	12
83	0	7	0.00	7
84	0	9	0.00	9
85	0	10	0.00	10
86	0	5	0.00	5
87	0	5	0.00	5
88	0	8	0.00	8
89	0	10	0.00	10
90	0	9	0.00	9
91	0	5	0.00	5

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	0	56	0.00	56
2	2	49	3.92	51
3	0	39	0.00	39
4	0	35	0.00	35
5	1	41	2.38	42
6	1	41	2.38	42
7	2	43	4.44	45
8	0	52	0.00	52
9	1	52	1.89	53
10	2	52	3.70	54
11	2	58	3.33	60
12	1	43	2.27	44
13	0	46	0.00	46
14	1	42	2.33	43
15	2	38	5.00	40
16	1	41	2.38	42
17	0	59	0.00	59
18	1	54	1.82	55
19	0	48	0.00	48
20	0	34	0.00	34
21	1	38	2.56	39
22	2	53	3.64	55
23	2	56	3.45	58
24	1	53	1.85	54
25	2	69	2.82	71
26	1	54	1.82	55
27	2	58	3.33	60
28	3	43	6.52	46
29	0	41	0.00	41
30	2	46	4.17	48
31	2	39	4.88	41
32	2	34	5.56	36
33	0	53	0.00	53
34	0	49	0.00	49
35	3	38	7.32	41
36	1	33	2.94	34
37	1	41	2.38	42
38	1	35	2.78	36
39	2	30	6.25	32
40	0	47	0.00	47
41	1	43	2.27	44
42	0	41	0.00	41
43	2	16	11.11	18
44	0	24	0.00	24
45	1	43	2.27	44
46	3	26	10.34	29
47	2	45	4.26	47
48	0	37	0.00	37
49	1	37	2.63	38
50	0	48	0.00	48
51	4	37	9.76	41
